snapshot_id,client_id,snapshot_date,aum_value,target_allocation_equity,target_allocation_bonds,target_allocation_cash,actual_allocation_equity,actual_allocation_bonds,actual_allocation_cash,drift_pct,goal_progress_pct,ytd_return,benchmark_return,risk_score
PS0064,C0004,2025-09-07,1038291.0,0.55,0.35,0.1,0.544,0.356,0.1,0.6,63.0,-0.0628,-0.0151,6.1
PS0065,C0004,2025-10-07,1077270.33,0.55,0.35,0.1,0.567,0.333,0.1,1.7,57.0,0.1182,-0.0181,6.1
PS0066,C0004,2025-11-06,1063343.09,0.55,0.35,0.1,0.525,0.375,0.1,2.5,69.0,0.1324,0.0145,6.1
PS0067,C0004,2025-12-06,1092199.06,0.55,0.35,0.1,0.5,0.4,0.1,5.0,58.4,0.1886,0.0116,6.1
PS0068,C0004,2026-01-05,1138537.95,0.55,0.35,0.1,0.636,0.264,0.1,8.6,71.9,0.0805,0.0368,6.1
PS0069,C0004,2026-02-04,1175000.91,0.55,0.35,0.1,0.611,0.289,0.1,6.1,62.2,0.0367,-0.011,6.1
PS0070,C0004,2026-03-06,1150301.82,0.55,0.35,0.1,0.469,0.431,0.1,8.1,69.5,0.0753,0.0293,6.1
PS0071,C0004,2026-04-05,1160126.49,0.55,0.35,0.1,0.433,0.467,0.1,11.7,72.2,0.0793,0.0187,6.1
PS0072,C0004,2026-05-05,1201089.43,0.55,0.35,0.1,0.606,0.294,0.1,5.6,71.7,0.0599,0.022,6.1
PS0073,C0005,2024-12-11,3340308.72,0.9,0.08,0.02,0.933,0.047,0.02,3.3,40.9,0.0408,0.0126,7.9
PS0074,C0005,2025-01-10,3190549.51,0.9,0.08,0.02,0.905,0.075,0.02,0.5,53.5,-0.2119,0.0423,7.9
PS0075,C0005,2025-02-09,3205485.93,0.9,0.08,0.02,0.987,0,0.013,8.7,57.8,-0.0388,0.0065,7.9
PS0076,C0005,2025-03-11,3274405.64,0.9,0.08,0.02,0.879,0.101,0.02,2.1,47.1,-0.0615,0.0275,7.9
PS0077,C0005,2025-04-10,2992807.97,0.9,0.08,0.02,0.972,0.008,0.02,7.2,51.3,0.0435,0.001,7.9
PS0078,C0005,2025-05-10,3047700.72,0.9,0.08,0.02,0.9,0.08,0.02,0.0,51.3,-0.1147,0.0209,7.9
PS0079,C0005,2025-06-09,3128978.32,0.9,0.08,0.02,0.947,0.033,0.02,4.7,62.7,0.0093,0.006,7.9
PS0080,C0005,2025-07-09,3096597.84,0.9,0.08,0.02,0.848,0.132,0.02,5.2,60.5,0.1239,0.0168,7.9
PS0081,C0005,2025-08-08,3226647.9,0.9,0.08,0.02,0.907,0.073,0.02,0.7,61.4,-0.0861,0.0152,7.9
PS0082,C0005,2025-09-07,3348300.87,0.9,0.08,0.02,0.962,0.018,0.02,6.2,63.7,-0.0013,-0.0155,7.9
PS0083,C0005,2025-10-07,3287814.66,0.9,0.08,0.02,0.935,0.045,0.02,3.5,71.7,-0.014,0.0154,7.9
PS0084,C0005,2025-11-06,3268542.05,0.9,0.08,0.02,0.909,0.071,0.02,0.9,68.3,-0.0421,0.0226,7.9
PS0085,C0005,2025-12-06,3197741.45,0.9,0.08,0.02,0.886,0.094,0.02,1.4,70.5,0.0147,0.0307,7.9
PS0086,C0005,2026-01-05,3000427.01,0.9,0.08,0.02,0.918,0.062,0.02,1.8,70.2,0.1093,-0.0056,7.9
PS0087,C0005,2026-02-04,3162900.16,0.9,0.08,0.02,0.962,0.018,0.02,6.2,66.3,0.1633,0.0074,7.9
PS0088,C0005,2026-03-06,3166652.26,0.9,0.08,0.02,0.92,0.06,0.02,2.0,73.4,0.0032,-0.0337,7.9
PS0089,C0005,2026-04-05,3105759.92,0.9,0.08,0.02,0.939,0.041,0.02,3.9,74.3,0.1722,0.0406,7.9
PS0090,C0005,2026-05-05,3115111.98,0.9,0.08,0.02,0.899,0.081,0.02,0.1,65.9,-0.0024,0.0115,7.9
PS0091,C0006,2024-12-11,150199.47,0.55,0.35,0.1,0.667,0.233,0.1,11.7,51.0,-0.0379,0.0291,5.8
PS0092,C0006,2025-01-10,153909.82,0.55,0.35,0.1,0.554,0.346,0.1,0.4,46.8,0.1407,0.0542,5.8
PS0093,C0006,2025-02-09,160376.4,0.55,0.35,0.1,0.481,0.419,0.1,6.9,53.2,-0.0502,0.0307,5.8
PS0094,C0006,2025-03-11,170004.77,0.55,0.35,0.1,0.614,0.286,0.1,6.4,65.9,-0.0173,0.0335,5.8
PS0095,C0006,2025-04-10,178582.14,0.55,0.35,0.1,0.527,0.373,0.1,2.3,62.2,0.1732,0.027,5.8
PS0096,C0006,2025-05-10,174015.82,0.55,0.35,0.1,0.47,0.43,0.1,8.0,63.8,0.0173,-0.0044,5.8
PS0097,C0006,2025-06-09,186656.76,0.55,0.35,0.1,0.576,0.324,0.1,2.6,55.4,0.0632,0.0003,5.8
PS0098,C0006,2025-07-09,182643.69,0.55,0.35,0.1,0.531,0.369,0.1,1.9,59.6,0.0593,0.0238,5.8
PS0099,C0006,2025-08-08,194121.89,0.55,0.35,0.1,0.528,0.372,0.1,2.2,70.0,0.0931,-0.0287,5.8
PS0100,C0006,2025-09-07,196075.22,0.55,0.35,0.1,0.591,0.309,0.1,4.1,55.4,-0.0331,-0.0061,5.8
PS0101,C0006,2025-10-07,196828.9,0.55,0.35,0.1,0.568,0.332,0.1,1.8,60.0,0.0641,0.0035,5.8
PS0102,C0006,2025-11-06,207277.83,0.55,0.35,0.1,0.521,0.379,0.1,2.9,64.9,0.0538,0.0001,5.8
PS0103,C0006,2025-12-06,208785.97,0.55,0.35,0.1,0.536,0.364,0.1,1.4,62.1,-0.0597,-0.001,5.8
PS0104,C0006,2026-01-05,217355.36,0.55,0.35,0.1,0.551,0.349,0.1,0.1,72.1,-0.0906,0.0006,5.8
PS0105,C0006,2026-02-04,217362.67,0.55,0.35,0.1,0.532,0.368,0.1,1.8,76.5,0.0183,-0.0068,5.8
PS0106,C0006,2026-03-06,218766.81,0.55,0.35,0.1,0.648,0.252,0.1,9.8,67.7,-0.1099,-0.0143,5.8
PS0107,C0006,2026-04-05,215501.79,0.55,0.35,0.1,0.558,0.342,0.1,0.8,69.7,-0.0055,-0.0018,5.8
PS0108,C0006,2026-05-05,225047.27,0.55,0.35,0.1,0.578,0.322,0.1,2.8,69.5,-0.0356,0.0101,5.8
PS0109,C0007,2024-12-11,152836.64,0.3,0.5,0.2,0.395,0.405,0.2,9.5,51.2,0.1136,-0.0247,4.3
PS0110,C0007,2025-01-10,158720.95,0.3,0.5,0.2,0.252,0.548,0.2,4.8,51.4,-0.0343,0.0561,4.3
PS0111,C0007,2025-02-09,159845.09,0.3,0.5,0.2,0.232,0.568,0.2,6.8,48.9,0.0076,0.0305,4.3
PS0112,C0007,2025-03-11,158778.09,0.3,0.5,0.2,0.311,0.489,0.2,1.1,59.3,0.0721,-0.0435,4.3
PS0113,C0007,2025-04-10,160940.97,0.3,0.5,0.2,0.345,0.455,0.2,4.5,58.4,0.0566,0.0318,4.3
PS0114,C0007,2025-05-10,161966.2,0.3,0.5,0.2,0.359,0.441,0.2,5.9,54.2,-0.0423,0.0439,4.3
PS0115,C0007,2025-06-09,165088.32,0.3,0.5,0.2,0.213,0.587,0.2,8.7,62.5,0.0567,0.0054,4.3
PS0116,C0007,2025-07-09,171584.74,0.3,0.5,0.2,0.273,0.527,0.2,2.7,62.1,-0.0308,0.0078,4.3
PS0117,C0007,2025-08-08,181660.77,0.3,0.5,0.2,0.201,0.599,0.2,9.9,50.7,-0.0171,0.0211,4.3
PS0118,C0007,2025-09-07,180992.63,0.3,0.5,0.2,0.296,0.504,0.2,0.4,58.2,0.0252,0.0068,4.3
PS0119,C0007,2025-10-07,180116.32,0.3,0.5,0.2,0.343,0.457,0.2,4.3,65.0,0.1148,-0.0098,4.3
PS0120,C0007,2025-11-06,184476.32,0.3,0.5,0.2,0.395,0.405,0.2,9.5,60.0,0.0571,-0.0126,4.3
PS0121,C0007,2025-12-06,187873.77,0.3,0.5,0.2,0.219,0.581,0.2,8.1,68.3,0.1313,0.0019,4.3
PS0122,C0007,2026-01-05,175418.16,0.3,0.5,0.2,0.242,0.558,0.2,5.8,73.2,0.096,0.0363,4.3
PS0123,C0007,2026-02-04,170039.25,0.3,0.5,0.2,0.324,0.476,0.2,2.4,68.5,0.21,0.021,4.3
PS0124,C0007,2026-03-06,173572.38,0.3,0.5,0.2,0.275,0.525,0.2,2.5,67.1,-0.0137,0.0112,4.3
PS0125,C0007,2026-04-05,174039.61,0.3,0.5,0.2,0.26,0.54,0.2,4.0,74.8,0.0378,0.0092,4.3
PS0126,C0007,2026-05-05,160067.78,0.3,0.5,0.2,0.134,0.666,0.2,16.6,79.0,-0.0513,-0.0022,4.3
PS0127,C0008,2024-12-11,2841284.7,0.55,0.35,0.1,0.47,0.43,0.1,8.0,39.2,-0.0327,0.0076,2.3
PS0128,C0008,2025-01-10,2955821.98,0.55,0.35,0.1,0.553,0.347,0.1,0.3,50.3,0.0639,-0.0138,2.3
PS0129,C0008,2025-02-09,2934791.49,0.55,0.35,0.1,0.516,0.384,0.1,3.4,43.6,0.015,-0.0445,2.3
PS0130,C0008,2025-03-11,2839768.78,0.55,0.35,0.1,0.451,0.449,0.1,9.9,53.5,0.1013,-0.0313,2.3
PS0131,C0008,2025-04-10,2650684.75,0.55,0.35,0.1,0.548,0.352,0.1,0.2,53.1,0.0094,0.0113,2.3
PS0132,C0008,2025-05-10,2769127.42,0.55,0.35,0.1,0.558,0.342,0.1,0.8,54.6,0.1308,-0.0127,2.3
PS0133,C0008,2025-06-09,2814294.61,0.55,0.35,0.1,0.486,0.414,0.1,6.4,61.4,-0.059,-0.0454,2.3
PS0134,C0008,2025-07-09,2933314.32,0.55,0.35,0.1,0.5,0.4,0.1,5.0,57.9,0.0895,0.0283,2.3
PS0135,C0008,2025-08-08,2936912.33,0.55,0.35,0.1,0.571,0.329,0.1,2.1,61.1,0.2128,-0.0246,2.3
PS0136,C0008,2025-09-07,3003014.21,0.55,0.35,0.1,0.565,0.335,0.1,1.5,58.2,0.1285,-0.0039,2.3
PS0137,C0008,2025-10-07,3079855.56,0.55,0.35,0.1,0.636,0.264,0.1,8.6,62.4,0.0404,0.0111,2.3
PS0138,C0008,2025-11-06,2893602.02,0.55,0.35,0.1,0.515,0.385,0.1,3.5,71.5,0.0958,-0.0029,2.3
PS0139,C0008,2025-12-06,2776975.29,0.55,0.35,0.1,0.592,0.308,0.1,4.2,64.4,-0.0024,-0.0084,2.3
PS0140,C0008,2026-01-05,2731969.84,0.55,0.35,0.1,0.539,0.361,0.1,1.1,65.0,0.0922,-0.0065,2.3
PS0141,C0008,2026-02-04,2740553.45,0.55,0.35,0.1,0.529,0.371,0.1,2.1,73.4,0.2221,0.0139,2.3
PS0142,C0008,2026-03-06,2869745.69,0.55,0.35,0.1,0.509,0.391,0.1,4.1,76.2,0.2021,0.0113,2.3
PS0143,C0008,2026-04-05,2758265.99,0.55,0.35,0.1,0.517,0.383,0.1,3.3,73.7,0.1808,0.0164,2.3
PS0144,C0008,2026-05-05,2711989.89,0.55,0.35,0.1,0.548,0.352,0.1,0.2,76.0,0.1395,0.0111,2.3
PS0145,C0009,2024-12-11,431288.34,0.75,0.2,0.05,0.768,0.182,0.05,1.8,55.0,0.0814,0.012,7.0
PS0146,C0009,2025-01-10,433037.3,0.75,0.2,0.05,0.76,0.19,0.05,1.0,44.7,-0.0291,-0.0104,7.0
PS0147,C0009,2025-02-09,448658.88,0.75,0.2,0.05,0.667,0.283,0.05,8.3,53.0,-0.0133,-0.0113,7.0
PS0148,C0009,2025-03-11,454427.1,0.75,0.2,0.05,0.729,0.221,0.05,2.1,70.6,-0.0619,-0.0138,7.0
PS0149,C0009,2025-04-10,475949.69,0.75,0.2,0.05,0.847,0.103,0.05,9.7,58.1,-0.0547,-0.0264,7.0
PS0150,C0009,2025-05-10,464276.25,0.75,0.2,0.05,0.727,0.223,0.05,2.3,52.8,0.1417,0.0036,7.0
PS0151,C0009,2025-06-09,485059.67,0.75,0.2,0.05,0.724,0.226,0.05,2.6,63.0,-0.0517,0.0659,7.0
PS0152,C0009,2025-07-09,471612.55,0.75,0.2,0.05,0.754,0.196,0.05,0.4,67.9,0.1843,-0.0206,7.0
PS0153,C0009,2025-08-08,454802.34,0.75,0.2,0.05,0.895,0.055,0.05,14.5,57.2,0.1552,0.0299,7.0
PS0154,C0009,2025-09-07,463264.13,0.75,0.2,0.05,0.727,0.223,0.05,2.3,58.3,0.0824,0.0288,7.0
PS0155,C0009,2025-10-07,466906.31,0.75,0.2,0.05,0.722,0.228,0.05,2.8,72.0,0.001,0.0021,7.0
PS0156,C0009,2025-11-06,511629.7,0.75,0.2,0.05,0.782,0.168,0.05,3.2,70.6,0.0939,0.0087,7.0
PS0157,C0009,2025-12-06,529583.55,0.75,0.2,0.05,0.714,0.236,0.05,3.6,71.2,-0.0184,0.0309,7.0
PS0158,C0009,2026-01-05,558436.07,0.75,0.2,0.05,0.779,0.171,0.05,2.9,69.5,0.132,-0.0172,7.0
PS0159,C0009,2026-02-04,553750.97,0.75,0.2,0.05,0.838,0.112,0.05,8.8,67.8,0.0757,0.0083,7.0
PS0160,C0009,2026-03-06,556375.23,0.75,0.2,0.05,0.821,0.129,0.05,7.1,66.5,0.1436,0.0049,7.0
PS0161,C0009,2026-04-05,535578.63,0.75,0.2,0.05,0.785,0.165,0.05,3.5,72.7,0.0042,-0.006,7.0
PS0162,C0009,2026-05-05,536239.32,0.75,0.2,0.05,0.699,0.251,0.05,5.1,72.7,0.1604,0.0426,7.0
PS0163,C0010,2024-12-11,443988.53,0.3,0.5,0.2,0.353,0.447,0.2,5.3,49.7,-0.014,0.0289,2.8
PS0164,C0010,2025-01-10,441898.8,0.3,0.5,0.2,0.343,0.457,0.2,4.3,51.1,0.0263,0.0245,2.8
PS0165,C0010,2025-02-09,416219.05,0.3,0.5,0.2,0.36,0.44,0.2,6.0,52.1,0.0779,-0.0043,2.8
PS0166,C0010,2025-03-11,444578.33,0.3,0.5,0.2,0.372,0.428,0.2,7.2,54.1,0.0196,-0.0193,2.8
PS0167,C0010,2025-04-10,470965.43,0.3,0.5,0.2,0.312,0.488,0.2,1.2,52.2,0.1839,-0.0168,2.8
PS0168,C0010,2025-05-10,493380.33,0.3,0.5,0.2,0.352,0.448,0.2,5.2,67.6,0.0492,0.0438,2.8
PS0169,C0010,2025-06-09,509761.44,0.3,0.5,0.2,0.349,0.451,0.2,4.9,60.9,0.0202,0.0061,2.8
PS0170,C0010,2025-07-09,506846.42,0.3,0.5,0.2,0.275,0.525,0.2,2.5,55.6,-0.1398,0.0311,2.8
PS0171,C0010,2025-08-08,509515.23,0.3,0.5,0.2,0.305,0.495,0.2,0.5,61.7,0.005,0.0419,2.8
PS0172,C0010,2025-09-07,552238.33,0.3,0.5,0.2,0.21,0.59,0.2,9.0,70.0,0.0652,0.0225,2.8
PS0173,C0010,2025-10-07,580719.21,0.3,0.5,0.2,0.165,0.635,0.2,13.5,69.8,0.0086,-0.0071,2.8
PS0174,C0010,2025-11-06,567477.79,0.3,0.5,0.2,0.334,0.466,0.2,3.4,64.1,0.1392,-0.0029,2.8
PS0175,C0010,2025-12-06,576348.09,0.3,0.5,0.2,0.261,0.539,0.2,3.9,73.3,-0.0502,0.0323,2.8
PS0176,C0010,2026-01-05,566315.15,0.3,0.5,0.2,0.284,0.516,0.2,1.6,73.8,0.0809,0.014,2.8
PS0177,C0010,2026-02-04,585362.31,0.3,0.5,0.2,0.256,0.544,0.2,4.4,63.8,-0.1403,0.0694,2.8
PS0178,C0010,2026-03-06,591661.14,0.3,0.5,0.2,0.38,0.42,0.2,8.0,82.6,-0.0361,-0.0067,2.8
PS0179,C0010,2026-04-05,607751.57,0.3,0.5,0.2,0.33,0.47,0.2,3.0,76.3,0.0922,0.0349,2.8
PS0180,C0010,2026-05-05,599099.9,0.3,0.5,0.2,0.218,0.582,0.2,8.2,64.3,-0.0487,-0.0432,2.8
PS0181,C0011,2024-12-11,455060.05,0.55,0.35,0.1,0.605,0.295,0.1,5.5,52.6,0.0122,-0.0011,6.7
PS0182,C0011,2025-01-10,459578.97,0.55,0.35,0.1,0.518,0.382,0.1,3.2,47.9,0.0866,0.0091,6.7
PS0183,C0011,2025-02-09,474643.96,0.55,0.35,0.1,0.41,0.49,0.1,14.0,51.4,-0.0165,0.0161,6.7
PS0184,C0011,2025-03-11,469195.84,0.55,0.35,0.1,0.517,0.383,0.1,3.3,51.9,0.0854,0.0515,6.7
PS0185,C0011,2025-04-10,485827.8,0.55,0.35,0.1,0.454,0.446,0.1,9.6,56.4,-0.0056,0.0258,6.7
PS0186,C0011,2025-05-10,473343.88,0.55,0.35,0.1,0.528,0.372,0.1,2.2,57.7,0.0132,0.0118,6.7
PS0187,C0011,2025-06-09,480441.62,0.55,0.35,0.1,0.595,0.305,0.1,4.5,53.0,0.1283,0.0176,6.7
PS0188,C0011,2025-07-09,487759.62,0.55,0.35,0.1,0.509,0.391,0.1,4.1,49.9,0.0566,0.0507,6.7
PS0189,C0011,2025-08-08,508501.07,0.55,0.35,0.1,0.485,0.415,0.1,6.5,69.1,-0.024,0.0414,6.7
PS0190,C0011,2025-09-07,518059.43,0.55,0.35,0.1,0.7,0.2,0.1,15.0,72.0,0.0398,0.043,6.7
PS0191,C0011,2025-10-07,535461.85,0.55,0.35,0.1,0.633,0.267,0.1,8.3,60.4,-0.0107,0.0511,6.7
PS0192,C0011,2025-11-06,548373.69,0.55,0.35,0.1,0.424,0.476,0.1,12.6,58.7,0.0582,0.0477,6.7
PS0193,C0011,2025-12-06,574777.13,0.55,0.35,0.1,0.574,0.326,0.1,2.4,71.9,-0.1029,-0.0238,6.7
PS0194,C0011,2026-01-05,575989.19,0.55,0.35,0.1,0.591,0.309,0.1,4.1,67.8,0.0398,0.0044,6.7
PS0195,C0011,2026-02-04,543072.85,0.55,0.35,0.1,0.56,0.34,0.1,1.0,67.5,0.1573,0.0123,6.7
PS0196,C0011,2026-03-06,545956.46,0.55,0.35,0.1,0.558,0.342,0.1,0.8,21.5,0.0649,0.0171,6.7
PS0197,C0011,2026-04-05,534488.91,0.55,0.35,0.1,0.662,0.238,0.1,11.2,31.0,0.0868,0.0228,6.7
PS0198,C0011,2026-05-05,527107.89,0.55,0.35,0.1,0.456,0.444,0.1,9.4,37.0,0.0399,-0.0413,6.7
PS0199,C0012,2024-12-11,836789.27,0.9,0.08,0.02,0.998,0,0.002,9.8,53.7,-0.0802,-0.0428,10
PS0200,C0012,2025-01-10,862182.68,0.9,0.08,0.02,1,0,0,23.6,47.1,0.099,0.0033,10
PS0201,C0012,2025-02-09,873370.71,0.9,0.08,0.02,0.956,0.024,0.02,5.6,58.4,0.1955,-0.0219,10
PS0202,C0012,2025-03-11,943673.7,0.9,0.08,0.02,0.814,0.166,0.02,8.6,54.9,0.0109,0.0344,10
PS0203,C0012,2025-04-10,983435.73,0.9,0.08,0.02,0.909,0.071,0.02,0.9,51.4,0.0176,0.0139,10
