holding_id,client_id,product_type,held,start_date,review_due_date,flagged_as_gap
PH0037,C0004,tax_wrapper_pension,False,,,False
PH0038,C0004,mortgage,True,2025-12-02,2026-06-23,False
PH0039,C0004,trust,True,2017-07-03,2025-11-13,False
PH0040,C0004,cash_savings,True,2015-09-09,2025-07-22,False
PH0041,C0005,equity_portfolio,True,2023-04-13,2025-12-23,False
PH0042,C0005,fixed_income,True,2025-07-02,2026-05-12,False
PH0043,C0005,insurance_life,False,,,False
PH0044,C0005,insurance_protection,True,2022-10-21,2026-05-21,False
PH0045,C0005,estate_plan,True,2021-10-12,2025-12-10,False
PH0046,C0005,tax_wrapper_isa,True,2024-03-06,2026-03-04,False
PH0047,C0005,tax_wrapper_pension,True,2025-04-16,2026-11-29,False
PH0048,C0005,mortgage,True,2023-08-12,2026-10-16,False
PH0049,C0005,trust,False,,,False
PH0050,C0005,cash_savings,True,2022-12-28,2025-10-21,False
PH0051,C0006,equity_portfolio,False,,,False
PH0052,C0006,fixed_income,False,,,False
PH0053,C0006,insurance_life,False,,,False
PH0054,C0006,insurance_protection,True,2011-02-13,2026-08-22,False
PH0055,C0006,estate_plan,False,,,False
PH0056,C0006,tax_wrapper_isa,True,2017-06-20,2025-10-24,False
PH0057,C0006,tax_wrapper_pension,False,,,False
PH0058,C0006,mortgage,False,,,False
PH0059,C0006,trust,True,2021-04-30,2026-01-28,False
PH0060,C0006,cash_savings,False,,,False
PH0061,C0007,equity_portfolio,False,,,False
PH0062,C0007,fixed_income,False,,,False
PH0063,C0007,insurance_life,False,,,False
PH0064,C0007,insurance_protection,False,,,False
PH0065,C0007,estate_plan,False,,,True
PH0066,C0007,tax_wrapper_isa,False,,,False
PH0067,C0007,tax_wrapper_pension,False,,,False
PH0068,C0007,mortgage,False,,,False
PH0069,C0007,trust,False,,,False
PH0070,C0007,cash_savings,True,2026-04-17,2025-11-05,False
PH0071,C0008,equity_portfolio,True,2025-11-09,2025-08-25,False
PH0072,C0008,fixed_income,False,,,False
PH0073,C0008,insurance_life,False,,,False
PH0074,C0008,insurance_protection,True,2025-07-12,2026-06-02,False
PH0075,C0008,estate_plan,True,2025-05-09,2026-01-26,False
PH0076,C0008,tax_wrapper_isa,True,2025-06-09,2026-02-15,False
PH0077,C0008,tax_wrapper_pension,True,2026-05-19,2025-09-26,False
PH0078,C0008,mortgage,False,,,False
PH0079,C0008,trust,True,2026-04-04,2025-10-28,False
PH0080,C0008,cash_savings,True,2026-04-09,2026-09-28,False
PH0081,C0009,equity_portfolio,True,2026-01-29,2026-02-03,False
PH0082,C0009,fixed_income,False,,,False
PH0083,C0009,insurance_life,False,,,True
PH0084,C0009,insurance_protection,False,,,False
PH0085,C0009,estate_plan,True,2026-05-08,2025-06-25,False
PH0086,C0009,tax_wrapper_isa,True,2025-12-09,2025-07-25,False
PH0087,C0009,tax_wrapper_pension,True,2026-05-28,2025-06-11,False
PH0088,C0009,mortgage,True,2025-12-27,2025-08-14,False
PH0089,C0009,trust,True,2026-02-18,2025-06-16,False
PH0090,C0009,cash_savings,True,2026-03-09,2026-09-26,False
PH0091,C0010,equity_portfolio,False,,,False
PH0092,C0010,fixed_income,True,2022-10-30,2026-08-04,False
PH0093,C0010,insurance_life,False,,,True
PH0094,C0010,insurance_protection,True,2024-01-15,2026-01-29,False
PH0095,C0010,estate_plan,False,,,False
PH0096,C0010,tax_wrapper_isa,True,2024-02-11,2026-02-26,False
PH0097,C0010,tax_wrapper_pension,False,,,False
PH0098,C0010,mortgage,False,,,False
PH0099,C0010,trust,True,2024-04-24,2026-06-02,False
PH0100,C0010,cash_savings,True,2025-04-24,2025-11-02,False
PH0101,C0011,equity_portfolio,False,,,False
PH0102,C0011,fixed_income,False,,,False
PH0103,C0011,insurance_life,False,,,True
PH0104,C0011,insurance_protection,True,2024-03-31,2025-08-25,False
PH0105,C0011,estate_plan,True,2024-12-14,2025-08-30,False
PH0106,C0011,tax_wrapper_isa,False,,,True
PH0107,C0011,tax_wrapper_pension,True,2020-02-25,2026-10-19,False
PH0108,C0011,mortgage,True,2021-06-08,2026-10-13,False
PH0109,C0011,trust,True,2024-02-05,2026-01-18,False
PH0110,C0011,cash_savings,True,2023-02-16,2025-10-27,False
PH0111,C0012,equity_portfolio,False,,,False
PH0112,C0012,fixed_income,True,2025-03-29,2026-08-02,False
PH0113,C0012,insurance_life,True,2025-11-13,2026-09-01,False
PH0114,C0012,insurance_protection,True,2023-07-02,2025-11-21,False
PH0115,C0012,estate_plan,True,2023-07-30,2025-11-09,False
PH0116,C0012,tax_wrapper_isa,False,,,False
PH0117,C0012,tax_wrapper_pension,True,2023-10-17,2026-02-03,False
PH0118,C0012,mortgage,False,,,False
PH0119,C0012,trust,True,2026-03-22,2026-03-30,False
PH0120,C0012,cash_savings,True,2024-06-15,2026-05-31,False
PH0121,C0013,equity_portfolio,True,2026-01-28,2025-12-05,False
PH0122,C0013,fixed_income,True,2026-05-29,2025-07-25,False
PH0123,C0013,insurance_life,True,2025-12-20,2025-10-05,False
PH0124,C0013,insurance_protection,True,2025-10-05,2026-11-02,False
PH0125,C0013,estate_plan,True,2026-01-06,2025-06-28,False
PH0126,C0013,tax_wrapper_isa,False,,,False
PH0127,C0013,tax_wrapper_pension,True,2025-12-23,2026-01-31,False
PH0128,C0013,mortgage,True,2026-05-10,2025-12-01,False
PH0129,C0013,trust,True,2026-04-22,2026-03-03,False
PH0130,C0013,cash_savings,False,,,False
PH0131,C0014,equity_portfolio,True,2019-11-05,2026-03-17,False
PH0132,C0014,fixed_income,True,2016-01-28,2025-08-10,False
PH0133,C0014,insurance_life,False,,,False
PH0134,C0014,insurance_protection,True,2014-11-20,2026-07-25,False
PH0135,C0014,estate_plan,True,2015-08-22,2026-03-22,False
PH0136,C0014,tax_wrapper_isa,False,,,True
PH0137,C0014,tax_wrapper_pension,True,2019-11-17,2026-08-26,False
PH0138,C0014,mortgage,True,2019-07-30,2026-09-30,False
PH0139,C0014,trust,True,2021-03-30,2026-04-29,False
PH0140,C0014,cash_savings,True,2022-10-17,2025-12-16,False
PH0141,C0015,equity_portfolio,True,2017-04-05,2025-10-04,False
PH0142,C0015,fixed_income,False,,,False
PH0143,C0015,insurance_life,True,2024-08-22,2026-05-31,False
PH0144,C0015,insurance_protection,True,2015-02-17,2025-09-25,False
PH0145,C0015,estate_plan,False,,,False
PH0146,C0015,tax_wrapper_isa,True,2015-01-13,2026-02-16,False
PH0147,C0015,tax_wrapper_pension,True,2008-03-02,2025-12-14,False
PH0148,C0015,mortgage,True,2014-07-22,2026-08-02,False
PH0149,C0015,trust,False,,,False
PH0150,C0015,cash_savings,False,,,False
PH0151,C0016,equity_portfolio,False,,,False
PH0152,C0016,fixed_income,True,2024-07-30,2025-09-20,False
PH0153,C0016,insurance_life,False,,,True
PH0154,C0016,insurance_protection,False,,,True
PH0155,C0016,estate_plan,False,,,True
PH0156,C0016,tax_wrapper_isa,True,2025-08-30,2026-03-12,False
PH0157,C0016,tax_wrapper_pension,False,,,False
PH0158,C0016,mortgage,False,,,False
PH0159,C0016,trust,False,,,False
PH0160,C0016,cash_savings,False,,,False
PH0161,C0017,equity_portfolio,False,,,False
PH0162,C0017,fixed_income,False,,,False
PH0163,C0017,insurance_life,True,2024-12-05,2025-12-15,False
PH0164,C0017,insurance_protection,False,,,False
PH0165,C0017,estate_plan,True,2025-08-29,2026-01-26,False
PH0166,C0017,tax_wrapper_isa,True,2026-02-06,2025-12-27,False
PH0167,C0017,tax_wrapper_pension,True,2026-05-20,2026-01-26,False
PH0168,C0017,mortgage,False,,,False
PH0169,C0017,trust,True,2024-07-18,2026-07-12,False
PH0170,C0017,cash_savings,True,2025-02-15,2025-08-04,False
PH0171,C0018,equity_portfolio,False,,,False
PH0172,C0018,fixed_income,True,2018-04-13,2026-11-29,False
PH0173,C0018,insurance_life,True,2004-06-20,2026-02-22,False
PH0174,C0018,insurance_protection,True,2021-02-23,2026-01-12,False
PH0175,C0018,estate_plan,True,2006-07-06,2025-07-24,False
PH0176,C0018,tax_wrapper_isa,True,2019-08-23,2026-04-27,False
PH0177,C0018,tax_wrapper_pension,False,,,False
PH0178,C0018,mortgage,False,,,False
PH0179,C0018,trust,False,,,False
PH0180,C0018,cash_savings,False,,,False
PH0181,C0019,equity_portfolio,False,,,False
PH0182,C0019,fixed_income,True,2020-12-06,2026-01-23,False
PH0183,C0019,insurance_life,True,2017-01-15,2025-09-13,False
PH0184,C0019,insurance_protection,True,2021-04-07,2026-02-12,False
PH0185,C0019,estate_plan,True,2017-04-20,2026-11-05,False
PH0186,C0019,tax_wrapper_isa,False,,,False
PH0187,C0019,tax_wrapper_pension,False,,,False
PH0188,C0019,mortgage,False,,,False
PH0189,C0019,trust,False,,,False
PH0190,C0019,cash_savings,False,,,False
PH0191,C0020,equity_portfolio,True,2024-11-11,2026-07-09,False
PH0192,C0020,fixed_income,True,2025-12-09,2025-12-22,False
PH0193,C0020,insurance_life,True,2024-11-27,2026-05-14,False
PH0194,C0020,insurance_protection,False,,,True
PH0195,C0020,estate_plan,True,2023-03-31,2026-03-29,False
PH0196,C0020,tax_wrapper_isa,True,2025-12-05,2026-08-04,False
PH0197,C0020,tax_wrapper_pension,True,2023-09-30,2026-09-12,False
PH0198,C0020,mortgage,False,,,False
PH0199,C0020,trust,False,,,False
PH0200,C0020,cash_savings,False,,,False
PH0201,C0021,equity_portfolio,False,,,False
PH0202,C0021,fixed_income,False,,,False
PH0203,C0021,insurance_life,False,,,False
PH0204,C0021,insurance_protection,True,2019-07-28,2026-08-19,False
PH0205,C0021,estate_plan,True,2018-04-07,2026-07-31,False
PH0206,C0021,tax_wrapper_isa,False,,,True
PH0207,C0021,tax_wrapper_pension,False,,,False
PH0208,C0021,mortgage,True,2025-06-28,2026-09-15,False
PH0209,C0021,trust,False,,,False
PH0210,C0021,cash_savings,False,,,False
PH0211,C0022,equity_portfolio,False,,,False
PH0212,C0022,fixed_income,False,,,False
PH0213,C0022,insurance_life,False,,,True
PH0214,C0022,insurance_protection,True,2015-01-12,2025-06-28,False
PH0215,C0022,estate_plan,False,,,False
PH0216,C0022,tax_wrapper_isa,True,2016-01-20,2026-08-31,False
PH0217,C0022,tax_wrapper_pension,False,,,False
PH0218,C0022,mortgage,True,2021-04-08,2025-09-15,False
PH0219,C0022,trust,False,,,False
PH0220,C0022,cash_savings,True,2019-12-23,2025-11-04,False
PH0221,C0023,equity_portfolio,False,,,False
PH0222,C0023,fixed_income,True,2026-01-14,2026-07-28,False
PH0223,C0023,insurance_life,False,,,True
PH0224,C0023,insurance_protection,False,,,True
PH0225,C0023,estate_plan,False,,,True
PH0226,C0023,tax_wrapper_isa,False,,,False
PH0227,C0023,tax_wrapper_pension,True,2026-05-30,2026-01-11,False
PH0228,C0023,mortgage,False,,,False
PH0229,C0023,trust,False,,,False
PH0230,C0023,cash_savings,False,,,False
PH0231,C0024,equity_portfolio,False,,,False
PH0232,C0024,fixed_income,True,2022-03-28,2025-12-30,False
PH0233,C0024,insurance_life,True,2019-06-02,2026-08-06,False
PH0234,C0024,insurance_protection,True,2015-05-21,2025-08-19,False
PH0235,C0024,estate_plan,True,2021-05-30,2025-09-17,False
PH0236,C0024,tax_wrapper_isa,False,,,True
PH0237,C0024,tax_wrapper_pension,True,2024-02-05,2026-11-24,False
PH0238,C0024,mortgage,False,,,False
PH0239,C0024,trust,True,2026-04-23,2025-10-01,False
PH0240,C0024,cash_savings,False,,,False
PH0241,C0025,equity_portfolio,False,,,False
PH0242,C0025,fixed_income,False,,,False
PH0243,C0025,insurance_life,False,,,False
PH0244,C0025,insurance_protection,True,2017-06-19,2026-07-30,False
PH0245,C0025,estate_plan,False,,,False
PH0246,C0025,tax_wrapper_isa,False,,,True
PH0247,C0025,tax_wrapper_pension,False,,,False
PH0248,C0025,mortgage,False,,,False
PH0249,C0025,trust,False,,,False
PH0250,C0025,cash_savings,False,,,False
PH0251,C0026,equity_portfolio,False,,,False
PH0252,C0026,fixed_income,False,,,False
PH0253,C0026,insurance_life,True,2022-07-21,2026-07-17,False
PH0254,C0026,insurance_protection,False,,,False
PH0255,C0026,estate_plan,False,,,False
PH0256,C0026,tax_wrapper_isa,True,2024-07-17,2025-11-08,False
PH0257,C0026,tax_wrapper_pension,False,,,False
PH0258,C0026,mortgage,False,,,False
PH0259,C0026,trust,False,,,False
PH0260,C0026,cash_savings,True,2024-12-01,2025-10-17,False
PH0261,C0027,equity_portfolio,True,2024-03-28,2026-07-01,False
PH0262,C0027,fixed_income,True,2021-09-15,2026-10-18,False
PH0263,C0027,insurance_life,True,2021-09-22,2026-01-26,False
PH0264,C0027,insurance_protection,True,2020-10-13,2026-01-25,False
PH0265,C0027,estate_plan,False,,,False
PH0266,C0027,tax_wrapper_isa,True,2017-06-27,2026-07-21,False
PH0267,C0027,tax_wrapper_pension,True,2022-04-16,2026-06-08,False
PH0268,C0027,mortgage,True,2017-11-22,2025-06-13,False
PH0269,C0027,trust,True,2018-04-26,2025-09-28,False
PH0270,C0027,cash_savings,True,2023-07-31,2026-01-26,False
PH0271,C0028,equity_portfolio,False,,,False
PH0272,C0028,fixed_income,True,2014-10-28,2025-08-10,False
PH0273,C0028,insurance_life,True,2015-12-24,2025-10-16,False
PH0274,C0028,insurance_protection,True,2023-02-26,2025-06-16,False
PH0275,C0028,estate_plan,False,,,False
PH0276,C0028,tax_wrapper_isa,True,2025-08-28,2026-10-31,False
PH0277,C0028,tax_wrapper_pension,True,2024-09-04,2026-07-20,False
PH0278,C0028,mortgage,True,2024-03-20,2025-11-29,False
PH0279,C0028,trust,True,2014-03-04,2026-08-02,False
PH0280,C0028,cash_savings,True,2013-07-13,2025-11-26,False
PH0281,C0029,equity_portfolio,False,,,False
PH0282,C0029,fixed_income,True,2025-03-03,2025-06-30,False
PH0283,C0029,insurance_life,True,2023-01-12,2026-04-08,False
PH0284,C0029,insurance_protection,True,2024-03-14,2026-08-21,False
PH0285,C0029,estate_plan,True,2025-12-06,2026-08-01,False
PH0286,C0029,tax_wrapper_isa,False,,,False
PH0287,C0029,tax_wrapper_pension,False,,,False
PH0288,C0029,mortgage,False,,,False
PH0289,C0029,trust,True,2023-01-20,2026-07-22,False
PH0290,C0029,cash_savings,False,,,False
PH0291,C0030,equity_portfolio,False,,,False
PH0292,C0030,fixed_income,True,2018-12-06,2026-11-28,False
PH0293,C0030,insurance_life,True,2017-12-20,2025-12-23,False
PH0294,C0030,insurance_protection,False,,,False
PH0295,C0030,estate_plan,False,,,False
PH0296,C0030,tax_wrapper_isa,True,2016-09-07,2025-12-12,False
PH0297,C0030,tax_wrapper_pension,False,,,False
PH0298,C0030,mortgage,False,,,False
PH0299,C0030,trust,True,2023-02-13,2026-02-19,False
PH0300,C0030,cash_savings,False,,,False
PH0301,C0031,equity_portfolio,True,2021-08-07,2026-04-03,False
PH0302,C0031,fixed_income,True,2016-05-02,2026-04-22,False
PH0303,C0031,insurance_life,False,,,False
PH0304,C0031,insurance_protection,False,,,False
PH0305,C0031,estate_plan,False,,,False
PH0306,C0031,tax_wrapper_isa,False,,,False
PH0307,C0031,tax_wrapper_pension,True,2018-11-08,2026-04-07,False
PH0308,C0031,mortgage,True,2012-09-16,2025-10-18,False
PH0309,C0031,trust,False,,,False
PH0310,C0031,cash_savings,False,,,False
PH0311,C0032,equity_portfolio,True,2023-10-06,2025-10-27,False
PH0312,C0032,fixed_income,False,,,False
PH0313,C0032,insurance_life,True,2025-12-12,2026-02-16,False
PH0314,C0032,insurance_protection,False,,,True
PH0315,C0032,estate_plan,False,,,False
PH0316,C0032,tax_wrapper_isa,False,,,False
PH0317,C0032,tax_wrapper_pension,True,2022-03-04,2026-10-18,False
PH0318,C0032,mortgage,True,2025-12-07,2025-09-29,False
PH0319,C0032,trust,False,,,False
PH0320,C0032,cash_savings,True,2022-05-16,2026-09-05,False
PH0321,C0033,equity_portfolio,False,,,False
PH0322,C0033,fixed_income,True,2024-07-28,2025-07-21,False
PH0323,C0033,insurance_life,True,2023-04-28,2025-06-18,False
PH0324,C0033,insurance_protection,True,2023-10-29,2026-08-18,False
PH0325,C0033,estate_plan,True,2023-02-27,2026-01-12,False
PH0326,C0033,tax_wrapper_isa,False,,,True
PH0327,C0033,tax_wrapper_pension,True,2023-06-10,2025-10-26,False
PH0328,C0033,mortgage,True,2024-03-02,2025-09-15,False
PH0329,C0033,trust,True,2023-11-19,2026-05-14,False
PH0330,C0033,cash_savings,False,,,False
PH0331,C0034,equity_portfolio,True,2024-03-29,2025-09-23,False
PH0332,C0034,fixed_income,True,2010-07-22,2025-11-24,False
PH0333,C0034,insurance_life,True,2024-07-16,2025-06-30,False
PH0334,C0034,insurance_protection,False,,,True
PH0335,C0034,estate_plan,False,,,False
PH0336,C0034,tax_wrapper_isa,False,,,False
PH0337,C0034,tax_wrapper_pension,True,2013-08-10,2026-05-07,False
PH0338,C0034,mortgage,False,,,False
PH0339,C0034,trust,True,2018-10-09,2026-04-27,False
PH0340,C0034,cash_savings,True,2023-10-18,2026-01-15,False
PH0341,C0035,equity_portfolio,True,2025-05-26,2026-05-01,False
PH0342,C0035,fixed_income,True,2025-05-21,2025-12-01,False
PH0343,C0035,insurance_life,True,2024-11-22,2026-10-10,False
PH0344,C0035,insurance_protection,True,2024-10-11,2025-11-07,False
PH0345,C0035,estate_plan,True,2026-02-11,2025-12-17,False
PH0346,C0035,tax_wrapper_isa,False,,,True
PH0347,C0035,tax_wrapper_pension,True,2022-01-30,2026-07-24,False
PH0348,C0035,mortgage,True,2023-05-09,2025-12-02,False
PH0349,C0035,trust,True,2024-01-29,2026-11-27,False
PH0350,C0035,cash_savings,True,2023-08-26,2026-09-10,False
PH0351,C0036,equity_portfolio,True,2020-03-20,2025-06-25,False
PH0352,C0036,fixed_income,True,2018-05-04,2025-09-28,False
PH0353,C0036,insurance_life,False,,,True
PH0354,C0036,insurance_protection,False,,,True
PH0355,C0036,estate_plan,True,2012-03-28,2025-08-03,False
PH0356,C0036,tax_wrapper_isa,True,2020-03-03,2025-09-19,False
PH0357,C0036,tax_wrapper_pension,True,2014-11-27,2026-02-18,False
PH0358,C0036,mortgage,True,2019-03-21,2025-07-29,False
PH0359,C0036,trust,False,,,False
PH0360,C0036,cash_savings,True,2017-05-19,2026-11-26,False
PH0361,C0037,equity_portfolio,True,2022-10-15,2025-06-30,False
PH0362,C0037,fixed_income,True,2021-08-03,2025-10-27,False
PH0363,C0037,insurance_life,False,,,False
PH0364,C0037,insurance_protection,True,2025-10-11,2026-10-12,False
PH0365,C0037,estate_plan,False,,,False
PH0366,C0037,tax_wrapper_isa,True,2022-02-05,2026-10-28,False
PH0367,C0037,tax_wrapper_pension,True,2025-01-21,2026-11-05,False
PH0368,C0037,mortgage,False,,,False
PH0369,C0037,trust,False,,,False
PH0370,C0037,cash_savings,True,2025-04-16,2026-02-16,False
PH0371,C0038,equity_portfolio,False,,,False
PH0372,C0038,fixed_income,False,,,False
PH0373,C0038,insurance_life,False,,,False
PH0374,C0038,insurance_protection,True,2026-05-16,2026-10-22,False
PH0375,C0038,estate_plan,True,2025-09-23,2025-07-05,False
PH0376,C0038,tax_wrapper_isa,True,2025-11-07,2026-02-21,False
PH0377,C0038,tax_wrapper_pension,False,,,False
PH0378,C0038,mortgage,False,,,False
PH0379,C0038,trust,True,2026-04-23,2026-04-19,False
PH0380,C0038,cash_savings,False,,,False
PH0381,C0039,equity_portfolio,True,2004-08-13,2026-03-01,False
PH0382,C0039,fixed_income,False,,,False
PH0383,C0039,insurance_life,False,,,False
PH0384,C0039,insurance_protection,False,,,False
PH0385,C0039,estate_plan,True,2026-03-06,2026-07-05,False
PH0386,C0039,tax_wrapper_isa,True,2012-11-07,2025-11-29,False
PH0387,C0039,tax_wrapper_pension,False,,,False
PH0388,C0039,mortgage,False,,,False
PH0389,C0039,trust,False,,,False
PH0390,C0039,cash_savings,True,2015-05-03,2026-11-22,False
PH0391,C0040,equity_portfolio,True,2009-03-06,2026-04-05,False
PH0392,C0040,fixed_income,False,,,False
PH0393,C0040,insurance_life,False,,,False
PH0394,C0040,insurance_protection,True,2010-06-05,2026-08-26,False
PH0395,C0040,estate_plan,True,2012-12-09,2026-09-26,False
PH0396,C0040,tax_wrapper_isa,True,2024-03-04,2026-10-15,False
PH0397,C0040,tax_wrapper_pension,True,2019-10-12,2026-04-24,False
PH0398,C0040,mortgage,True,2018-02-16,2026-02-15,False
PH0399,C0040,trust,True,2023-11-02,2026-08-07,False
PH0400,C0040,cash_savings,True,2024-11-18,2025-12-15,False
PH0401,C0041,equity_portfolio,False,,,False
PH0402,C0041,fixed_income,True,2023-06-30,2025-11-04,False
PH0403,C0041,insurance_life,True,2025-06-26,2026-09-16,False
PH0404,C0041,insurance_protection,False,,,True
PH0405,C0041,estate_plan,False,,,False
PH0406,C0041,tax_wrapper_isa,False,,,False
PH0407,C0041,tax_wrapper_pension,False,,,False
PH0408,C0041,mortgage,True,2022-07-01,2026-01-23,False
PH0409,C0041,trust,False,,,False
PH0410,C0041,cash_savings,False,,,False
PH0411,C0042,equity_portfolio,False,,,False
PH0412,C0042,fixed_income,True,2025-06-16,2026-07-01,False
PH0413,C0042,insurance_life,True,2025-04-14,2025-10-08,False
PH0414,C0042,insurance_protection,False,,,True
PH0415,C0042,estate_plan,True,2024-09-06,2026-07-09,False
PH0416,C0042,tax_wrapper_isa,True,2025-11-25,2026-05-07,False
PH0417,C0042,tax_wrapper_pension,True,2025-02-28,2025-12-07,False
PH0418,C0042,mortgage,True,2024-07-16,2025-09-17,False
PH0419,C0042,trust,False,,,False
PH0420,C0042,cash_savings,False,,,False
PH0421,C0043,equity_portfolio,False,,,False
PH0422,C0043,fixed_income,False,,,False
PH0423,C0043,insurance_life,False,,,False
PH0424,C0043,insurance_protection,False,,,True
PH0425,C0043,estate_plan,False,,,False
PH0426,C0043,tax_wrapper_isa,True,2015-05-03,2025-10-30,False
PH0427,C0043,tax_wrapper_pension,True,2016-12-20,2026-01-01,False
PH0428,C0043,mortgage,False,,,False
PH0429,C0043,trust,True,2019-02-26,2025-07-16,False
PH0430,C0043,cash_savings,True,2023-06-20,2026-07-28,False
PH0431,C0044,equity_portfolio,False,,,False
PH0432,C0044,fixed_income,True,2025-07-29,2026-04-05,False
PH0433,C0044,insurance_life,True,2023-03-25,2025-10-24,False
PH0434,C0044,insurance_protection,False,,,False
PH0435,C0044,estate_plan,True,2021-09-14,2026-05-13,False
PH0436,C0044,tax_wrapper_isa,True,2025-01-21,2026-06-17,False
PH0437,C0044,tax_wrapper_pension,False,,,False
PH0438,C0044,mortgage,False,,,False
PH0439,C0044,trust,True,2020-04-06,2026-05-13,False
PH0440,C0044,cash_savings,True,2022-12-06,2026-10-28,False
PH0441,C0045,equity_portfolio,False,,,False
PH0442,C0045,fixed_income,True,2023-04-04,2025-07-14,False
PH0443,C0045,insurance_life,False,,,True
PH0444,C0045,insurance_protection,False,,,True
PH0445,C0045,estate_plan,False,,,False
PH0446,C0045,tax_wrapper_isa,True,2026-04-28,2026-08-29,False
PH0447,C0045,tax_wrapper_pension,False,,,False
PH0448,C0045,mortgage,False,,,False
PH0449,C0045,trust,False,,,False
PH0450,C0045,cash_savings,True,2026-04-04,2025-09-09,False
PH0451,C0046,equity_portfolio,True,2024-11-19,2025-07-30,False
PH0452,C0046,fixed_income,False,,,False
PH0453,C0046,insurance_life,False,,,False
PH0454,C0046,insurance_protection,False,,,False
PH0455,C0046,estate_plan,False,,,True
PH0456,C0046,tax_wrapper_isa,True,2008-11-03,2025-09-19,False
PH0457,C0046,tax_wrapper_pension,True,2024-07-02,2026-05-09,False
PH0458,C0046,mortgage,True,2014-12-17,2025-09-24,False
PH0459,C0046,trust,True,2024-03-10,2026-07-09,False
PH0460,C0046,cash_savings,True,2018-06-15,2026-05-15,False
PH0461,C0047,equity_portfolio,True,2025-02-26,2025-09-19,False
PH0462,C0047,fixed_income,True,2009-11-12,2025-09-28,False
PH0463,C0047,insurance_life,False,,,False
PH0464,C0047,insurance_protection,True,2022-05-29,2026-11-18,False
PH0465,C0047,estate_plan,True,2014-04-17,2025-11-23,False
PH0466,C0047,tax_wrapper_isa,False,,,False
PH0467,C0047,tax_wrapper_pension,True,2022-04-16,2025-12-06,False
PH0468,C0047,mortgage,True,2022-02-21,2026-07-18,False
PH0469,C0047,trust,False,,,False
PH0470,C0047,cash_savings,False,,,False
PH0471,C0048,equity_portfolio,True,2024-03-18,2025-07-18,False
PH0472,C0048,fixed_income,False,,,False
PH0473,C0048,insurance_life,True,2023-02-26,2026-11-16,False
PH0474,C0048,insurance_protection,False,,,False
PH0475,C0048,estate_plan,True,2020-09-19,2026-07-05,False
PH0476,C0048,tax_wrapper_isa,False,,,True
PH0477,C0048,tax_wrapper_pension,True,2026-05-19,2026-10-03,False
PH0478,C0048,mortgage,False,,,False
PH0479,C0048,trust,True,2023-06-19,2026-04-11,False
PH0480,C0048,cash_savings,False,,,False
PH0481,C0049,equity_portfolio,False,,,False
PH0482,C0049,fixed_income,False,,,False
PH0483,C0049,insurance_life,True,2019-11-19,2025-07-09,False
PH0484,C0049,insurance_protection,False,,,False
PH0485,C0049,estate_plan,True,2018-12-24,2025-07-23,False
PH0486,C0049,tax_wrapper_isa,False,,,False
PH0487,C0049,tax_wrapper_pension,True,2021-11-16,2026-11-25,False
PH0488,C0049,mortgage,False,,,False
PH0489,C0049,trust,True,2025-10-15,2025-06-04,False
PH0490,C0049,cash_savings,False,,,False
PH0491,C0050,equity_portfolio,False,,,False
PH0492,C0050,fixed_income,False,,,False
PH0493,C0050,insurance_life,True,2026-03-31,2025-09-04,False
PH0494,C0050,insurance_protection,False,,,True
