household_id,primary_client_id,member_ids,member_count,total_household_aum,engagement_score,wealth_transfer_flag,next_gen_engaged,member_last_contact
H0052,C0056,C0056|C0150,2,15442000.0,45.6,True,False,"{""C0056"": ""2026-05-20"", ""C0150"": ""2026-04-27""}"
H0053,C0103,C0103|C0110,2,779000.0,43.7,False,False,"{""C0103"": ""2026-05-02"", ""C0110"": ""2026-04-07""}"
H0054,C0144,C0144,1,99000.0,88.0,False,False,"{""C0144"": ""2026-04-16""}"
H0055,C0126,C0126,1,22769000.0,48.6,False,False,"{""C0126"": ""2026-04-29""}"
H0056,C0089,C0089,1,975000.0,56.2,False,False,"{""C0089"": ""2026-05-20""}"
H0057,C0016,C0016|C0136,2,3723000.0,70.4,False,False,"{""C0016"": ""2026-05-28"", ""C0136"": ""2026-01-01""}"
H0058,C0071,C0071|C0117,2,1185000.0,61.0,False,False,"{""C0071"": ""2026-04-17"", ""C0117"": ""2026-02-25""}"
H0059,C0006,C0006|C0102|C0120|C0127,4,1006000.0,51.5,False,False,"{""C0006"": ""2026-05-26"", ""C0102"": ""2026-04-14"", ""C0120"": ""2026-02-17"", ""C0127"": ""2026-02-18""}"
H0060,C0066,C0047|C0066,2,2306000.0,67.1,False,False,"{""C0047"": ""2026-01-21"", ""C0066"": ""2026-05-26""}"
H0062,C0092,C0092|C0099|C0109,3,1087000.0,41.4,False,False,"{""C0092"": ""2026-05-31"", ""C0099"": ""2026-04-13"", ""C0109"": ""2026-02-09""}"
H0064,C0088,C0088,1,2161000.0,45.0,False,False,"{""C0088"": ""2026-06-01""}"
H0065,C0038,C0038,1,215000.0,57.7,False,False,"{""C0038"": ""2026-04-15""}"
H0066,C0022,C0022|C0087,2,3347000.0,42.9,False,False,"{""C0022"": ""2026-05-19"", ""C0087"": ""2026-01-08""}"
H0067,C0093,C0093|C0124,2,4527000.0,49.3,False,False,"{""C0093"": ""2026-04-21"", ""C0124"": ""2026-02-06""}"
H0068,C0070,C0070,1,1857000.0,89.0,False,False,"{""C0070"": ""2026-05-11""}"
H0069,C0019,C0019|C0020|C0045,3,2453000.0,54.6,False,False,"{""C0019"": ""2026-05-07"", ""C0020"": ""2026-01-05"", ""C0045"": ""2026-01-14""}"
H0070,C0001,C0001|C0008|C0082,3,4672000.0,61.6,False,False,"{""C0001"": ""2026-06-02"", ""C0008"": ""2026-03-17"", ""C0082"": ""2026-03-23""}"
H0071,C0054,C0054,1,215000.0,73.0,False,False,"{""C0054"": ""2026-05-26""}"
H0072,C0068,C0068,1,580000.0,50.3,False,False,"{""C0068"": ""2026-05-07""}"
H0073,C0004,C0004,1,944000.0,88.6,False,False,"{""C0004"": ""2026-04-17""}"
H0074,C0130,C0130,1,312000.0,48.5,False,False,"{""C0130"": ""2026-05-06""}"
H0075,C0148,C0012|C0148,2,2882000.0,70.8,False,False,"{""C0012"": ""2026-02-12"", ""C0148"": ""2026-04-08""}"
H0079,C0075,C0075,1,845000.0,83.8,False,False,"{""C0075"": ""2026-04-18""}"
H0080,C0061,C0061,1,3122000.0,57.5,False,False,"{""C0061"": ""2026-05-05""}"
H0081,C0035,C0035|C0041|C0049,3,1862000.0,84.3,False,False,"{""C0035"": ""2026-04-18"", ""C0041"": ""2026-04-09"", ""C0049"": ""2026-03-22""}"
H0082,C0051,C0051,1,195000.0,66.8,False,False,"{""C0051"": ""2026-05-18""}"
H0083,C0111,C0111,1,563000.0,52.9,False,False,"{""C0111"": ""2026-05-26""}"
H0084,C0023,C0023|C0039|C0057|C0065|C0114,5,8643000.0,68.2,False,False,"{""C0023"": ""2026-04-12"", ""C0039"": ""2026-02-21"", ""C0057"": ""2026-01-01"", ""C0065"": ""2026-03-13"", ""C0114"": ""2026-04-11""}"
H0085,C0048,C0048|C0146,2,818000.0,54.5,False,False,"{""C0048"": ""2026-04-11"", ""C0146"": ""2026-04-27""}"
H0086,C0017,C0017,1,876000.0,65.4,True,False,"{""C0017"": ""2026-04-05""}"
H0087,C0132,C0132,1,213000.0,89.6,False,False,"{""C0132"": ""2026-04-22""}"
H0088,C0003,C0003,1,205000.0,61.3,False,False,"{""C0003"": ""2026-05-22""}"
H0089,C0122,C0115|C0122,2,1016000.0,65.6,False,False,"{""C0115"": ""2026-02-07"", ""C0122"": ""2026-05-25""}"
H0090,C0018,C0018|C0113|C0123,3,1403000.0,67.0,True,False,"{""C0018"": ""2026-04-07"", ""C0113"": ""2026-03-11"", ""C0123"": ""2026-03-19""}"
H0091,C0100,C0100,1,110000.0,74.2,False,False,"{""C0100"": ""2026-05-23""}"
H0092,C0095,C0083|C0095|C0096|C0149,4,2659000.0,42.7,False,False,"{""C0083"": ""2026-05-03"", ""C0095"": ""2026-05-29"", ""C0096"": ""2026-01-29"", ""C0149"": ""2026-02-08""}"
H0093,C0142,C0024|C0108|C0119|C0142,4,3346000.0,83.2,False,False,"{""C0024"": ""2025-12-31"", ""C0108"": ""2025-12-18"", ""C0119"": ""2026-04-03"", ""C0142"": ""2026-04-28""}"
H0094,C0010,C0010|C0031|C0074|C0141,4,29604000.0,47.0,False,False,"{""C0010"": ""2026-05-10"", ""C0031"": ""2026-03-31"", ""C0074"": ""2026-04-06"", ""C0141"": ""2026-01-17""}"
H0095,C0058,C0058|C0069|C0091,3,9335000.0,79.3,False,False,"{""C0058"": ""2026-05-31"", ""C0069"": ""2026-03-02"", ""C0091"": ""2026-04-05""}"
