client_id,advisor_id,score_date,relationship_score,portfolio_score,household_score,book_score,advisor_performance_score,days_since_contact,portfolio_drift_pct,goal_progress_pct,product_gap_count,life_event_urgency,interaction_multiplier,aum_multiplier,nba_score,nba_rank,primary_urgency_reason,recommended_action,nba_scenario_flag,nba_expected_rank,score_validated
C0106,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0107,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0108,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0109,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0110,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0111,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0112,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0113,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0114,ADV001,2026-06-04,,,,,,,,,,,,,,,,,S002,top_10,
C0115,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0116,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0117,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0118,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0119,ADV001,2026-06-04,,,,,,,,,,,,,,,,,S004,top_15,
C0120,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0121,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0122,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0123,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0124,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0125,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0126,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0127,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0128,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0129,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0130,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0131,ADV001,2026-06-04,,,,,,,,,,,,,,,,,S003,top_20,
C0132,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0133,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0134,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0135,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0136,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0137,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0138,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0139,ADV001,2026-06-04,,,,,,,,,,,,,,,,,S003,top_20,
C0140,ADV001,2026-06-04,,,,,,,,,,,,,,,,,S003,top_20,
C0141,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0142,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0143,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0144,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0145,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0146,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0147,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0148,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0149,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0150,ADV001,2026-06-04,,,,,,,,,,,,,,,,,S005,top_20,
