goal_id,client_id,goal_type,target_amount,current_progress_pct,target_date,on_track,last_reviewed_date,priority_rank,years_to_target
G0050,C0020,Emergency fund,1134000.0,85.2,2037-06-01,True,2026-05-30,2,11
G0051,C0020,Estate / legacy,1642000.0,87.3,2044-05-30,True,2026-01-19,3,18
G0052,C0021,Education funding,218000.0,42.5,2040-05-31,True,2026-02-10,1,14
G0053,C0021,Business exit,405000.0,73.8,2042-05-31,True,2025-12-14,2,16
G0054,C0021,Charitable giving,61000.0,79.1,2028-06-03,True,2025-12-27,3,2
G0055,C0022,Retirement income,515000.0,31.7,2040-05-31,False,2026-03-23,1,14
G0056,C0023,Estate / legacy,105000.0,20.9,2030-06-03,False,2026-04-15,1,4
G0057,C0023,Emergency fund,162000.0,41.6,2040-05-31,True,2026-05-14,2,14
G0058,C0024,Estate / legacy,4788000.0,68.6,2032-06-02,True,2026-03-21,1,6
G0059,C0024,Property purchase,1248000.0,71.3,2028-06-03,False,2026-02-19,2,2
G0060,C0025,Estate / legacy,207000.0,30.8,2029-06-03,False,2026-05-01,1,3
G0061,C0026,Estate / legacy,450000.0,52.0,2034-06-02,True,2026-05-04,1,8
G0062,C0027,Estate / legacy,32297000.0,52.5,2030-06-03,False,2026-03-17,1,4
G0063,C0027,Charitable giving,30796000.0,46.3,2040-05-31,True,2026-02-17,2,14
G0064,C0027,Education funding,10290000.0,21.7,2034-06-02,False,2026-05-26,3,8
G0065,C0028,Estate / legacy,1279000.0,52.3,2029-06-03,False,2026-02-19,1,3
G0066,C0028,Property purchase,792000.0,35.5,2040-05-31,False,2026-04-28,2,14
G0067,C0029,Estate / legacy,97000.0,72.0,2046-05-30,True,2025-12-08,1,20
G0068,C0029,Business exit,343000.0,84.3,2045-05-30,True,2025-12-30,2,19
G0069,C0030,Education funding,55000.0,42.3,2035-06-02,False,2026-05-29,1,9
G0070,C0031,Property purchase,985000.0,27.2,2043-05-31,False,2026-04-10,1,17
G0071,C0032,Retirement income,1613000.0,37.2,2027-11-12,False,2026-03-31,1,10
G0072,C0032,Property purchase,718000.0,46.6,2031-06-03,True,2026-04-28,2,5
G0073,C0033,Income protection,481000.0,57.0,2041-05-31,True,2026-05-02,1,15
G0074,C0033,Business exit,611000.0,33.3,2033-06-02,True,2026-04-01,2,7
G0075,C0033,Emergency fund,630000.0,29.1,2034-06-02,True,2026-04-20,3,8
G0076,C0034,Education funding,1655000.0,40.3,2033-06-02,False,2026-05-14,1,7
G0077,C0034,Emergency fund,614000.0,45.2,2041-05-31,True,2026-03-07,2,15
G0078,C0035,Retirement income,468000.0,62.0,2028-06-03,True,2026-04-30,1,2
G0079,C0035,Emergency fund,921000.0,67.4,2030-06-03,True,2026-05-05,2,4
G0080,C0036,Education funding,502000.0,83.1,2038-06-01,True,2026-05-02,1,12
G0081,C0036,Property purchase,1656000.0,25.9,2035-06-02,False,2026-05-01,2,9
G0082,C0037,Property purchase,570000.0,54.2,2036-06-01,True,2026-03-02,1,10
G0083,C0037,Emergency fund,894000.0,45.3,2037-06-01,True,2026-05-24,2,11
G0084,C0038,Income protection,187000.0,30.3,2031-06-03,True,2025-12-24,1,5
G0085,C0038,Retirement income,82000.0,73.3,2033-06-02,True,2026-04-14,2,7
G0086,C0038,Charitable giving,65000.0,51.6,2043-05-31,True,2026-02-07,3,17
G0087,C0039,Income protection,111000.0,40.2,2041-05-31,False,2026-01-08,1,15
G0088,C0039,Retirement income,764000.0,27.0,2027-06-04,False,2025-12-07,2,1
G0089,C0039,Education funding,380000.0,54.0,2037-06-01,False,2026-04-05,3,11
G0090,C0040,Retirement income,194000.0,24.2,2027-06-04,False,2026-02-16,1,1
G0091,C0040,Income protection,495000.0,32.3,2041-05-31,False,2026-05-28,2,15
G0092,C0041,Income protection,1699000.0,56.2,2041-05-31,True,2026-01-11,1,15
G0093,C0041,Education funding,1189000.0,86.7,2033-06-02,True,2026-05-19,2,7
G0094,C0042,Estate / legacy,9055000.0,52.2,2037-06-01,True,2025-12-10,1,11
G0095,C0042,Property purchase,6092000.0,62.0,2040-05-31,True,2026-01-11,2,14
G0096,C0042,Charitable giving,8014000.0,76.6,2034-06-02,True,2026-03-21,3,8
G0097,C0042,Emergency fund,5782000.0,20.6,2029-06-03,False,2026-03-13,4,3
G0098,C0043,Income protection,181000.0,29.9,2044-05-30,False,2026-02-05,1,18
G0099,C0043,Estate / legacy,254000.0,89.4,2044-05-30,True,2026-01-23,2,18
G0100,C0044,Charitable giving,751000.0,66.2,2046-05-30,True,2026-03-01,1,20
G0101,C0044,Retirement income,947000.0,64.5,2027-06-04,False,2025-12-19,2,1
G0102,C0044,Property purchase,579000.0,22.8,2042-05-31,False,2026-04-18,3,16
G0103,C0045,Emergency fund,1435000.0,51.3,2028-06-03,False,2026-01-08,1,2
G0104,C0046,Retirement income,1032000.0,34.9,2032-06-02,False,2026-01-15,1,6
G0105,C0046,Business exit,729000.0,36.4,2037-06-01,False,2026-06-02,2,11
G0106,C0047,Retirement income,1371000.0,49.8,2043-05-31,True,2026-01-28,1,17
G0107,C0047,Property purchase,1005000.0,36.5,2044-05-30,False,2026-05-29,2,18
G0108,C0047,Emergency fund,2987000.0,36.2,2032-06-02,False,2025-12-06,3,6
G0109,C0047,Education funding,2988000.0,48.8,2036-06-01,False,2026-03-24,4,10
G0110,C0047,Charitable giving,3080000.0,86.4,2039-06-01,True,2026-02-07,5,13
G0111,C0048,Retirement income,1095000.0,82.9,2027-06-04,True,2025-12-27,1,1
G0112,C0048,Income protection,1039000.0,24.3,2038-06-01,False,2026-05-04,2,12
G0113,C0048,Business exit,1226000.0,77.0,2031-06-03,True,2026-01-05,3,5
G0114,C0049,Retirement income,188000.0,35.1,2027-06-04,False,2025-12-15,1,1
G0115,C0049,Property purchase,152000.0,23.7,2029-06-03,False,2026-05-03,2,3
G0116,C0049,Charitable giving,202000.0,22.9,2035-06-02,False,2026-05-03,3,9
G0117,C0050,Income protection,48000.0,57.0,2028-06-03,True,2026-04-08,1,2
G0118,C0050,Property purchase,108000.0,56.9,2044-05-30,True,2026-03-11,2,18
G0119,C0051,Income protection,125000.0,44.6,2037-06-01,False,2026-04-03,1,11
G0120,C0051,Property purchase,283000.0,52.7,2040-05-31,False,2026-03-09,2,14
G0121,C0052,Estate / legacy,698000.0,29.9,2037-06-01,False,2026-01-19,1,11
G0122,C0052,Business exit,744000.0,26.1,2043-05-31,False,2026-01-28,2,17
G0123,C0052,Education funding,416000.0,48.5,2039-06-01,False,2026-03-28,3,13
G0124,C0053,Income protection,109000.0,33.1,2036-06-01,False,2026-01-19,1,10
G0125,C0053,Retirement income,208000.0,62.9,2037-06-01,True,2026-03-06,2,11
G0126,C0054,Education funding,439000.0,88.3,2044-05-30,True,2026-05-10,1,18
G0127,C0055,Retirement income,18511000.0,21.5,2028-06-03,False,2026-06-03,1,2
G0128,C0055,Estate / legacy,34514000.0,54.9,2038-06-01,True,2026-05-14,2,12
G0129,C0055,Property purchase,18231000.0,23.6,2031-06-03,True,2026-05-05,3,5
G0130,C0055,Business exit,30248000.0,87.6,2044-05-30,True,2026-03-12,4,18
G0131,C0055,Income protection,65840000.0,84.4,2035-06-02,True,2026-03-02,5,9
G0132,C0056,Estate / legacy,259000.0,52.7,2034-06-02,True,2026-05-16,1,8
G0133,C0056,Property purchase,817000.0,65.5,2043-05-31,True,2026-01-30,2,17
G0134,C0056,Retirement income,334000.0,57.5,2044-05-30,True,2026-04-15,3,18
G0135,C0057,Estate / legacy,5210000.0,41.0,2041-05-31,False,2026-05-16,1,15
G0136,C0057,Emergency fund,4587000.0,83.6,2040-05-31,True,2026-05-05,2,14
G0137,C0057,Retirement income,3752000.0,81.6,2046-05-30,True,2026-04-30,3,20
G0138,C0058,Retirement income,1362000.0,69.9,2036-06-01,True,2026-04-15,1,10
G0139,C0058,Property purchase,1871000.0,84.4,2044-05-30,True,2026-05-26,2,18
G0140,C0059,Income protection,1275000.0,28.9,2037-06-01,False,2026-04-30,1,11
G0141,C0059,Business exit,897000.0,52.7,2034-06-02,False,2026-01-04,2,8
G0142,C0059,Charitable giving,983000.0,21.7,2028-06-03,False,2026-03-17,3,2
G0143,C0060,Retirement income,584000.0,44.7,2032-06-02,False,2025-12-30,1,6
G0144,C0061,Estate / legacy,6477000.0,63.8,2037-06-01,True,2026-01-06,1,11
G0145,C0061,Income protection,3694000.0,72.9,2044-05-30,True,2026-03-13,2,18
G0146,C0062,Retirement income,626000.0,62.6,2031-06-03,True,2025-12-22,1,5
G0147,C0063,Education funding,107000.0,28.8,2044-05-30,True,2026-04-01,1,18
G0148,C0063,Retirement income,162000.0,81.8,2052-05-28,True,2026-04-14,2,26
G0149,C0064,Income protection,14214000.0,48.4,2031-06-03,False,2026-05-20,1,5
G0150,C0064,Emergency fund,9307000.0,47.3,2036-06-01,False,2026-03-11,2,10
G0151,C0064,Charitable giving,26392000.0,48.3,2030-06-03,False,2026-04-08,3,4
G0152,C0065,Emergency fund,3208000.0,37.3,2028-06-03,False,2026-01-13,1,2
G0153,C0065,Charitable giving,6773000.0,75.1,2040-05-31,True,2025-12-23,2,14
G0154,C0065,Business exit,5663000.0,25.8,2037-06-01,False,2025-12-06,3,11
G0155,C0065,Education funding,2070000.0,69.4,2035-06-02,True,2025-12-14,4,9
G0156,C0065,Income protection,1755000.0,86.5,2035-06-02,True,2026-03-09,5,9
G0157,C0066,Retirement income,2341000.0,36.8,2027-06-04,False,2025-12-15,1,1
G0158,C0066,Emergency fund,2171000.0,55.6,2034-06-02,True,2026-04-29,2,8
G0159,C0066,Charitable giving,1004000.0,69.9,2029-06-03,True,2026-01-27,3,3
G0160,C0067,Estate / legacy,1374000.0,25.5,2032-06-02,False,2025-12-20,1,6
G0161,C0068,Emergency fund,1246000.0,47.7,2036-06-01,True,2025-12-23,1,10
G0162,C0068,Charitable giving,844000.0,47.0,2030-06-03,True,2026-04-01,2,4
G0163,C0068,Retirement income,897000.0,54.6,2048-05-29,True,2026-01-28,3,22
G0164,C0069,Retirement income,108000.0,40.7,2036-06-01,False,2026-05-13,1,10
G0165,C0069,Estate / legacy,168000.0,35.6,2031-06-03,False,2025-12-30,2,5
G0166,C0070,Property purchase,4242000.0,20.2,2037-06-01,False,2026-05-02,1,11
G0167,C0070,Income protection,1346000.0,77.6,2043-05-31,True,2026-02-04,2,17
G0168,C0070,Estate / legacy,4366000.0,39.5,2028-06-03,False,2025-12-07,3,2
G0169,C0071,Property purchase,398000.0,53.8,2036-06-01,True,2026-05-21,1,10
G0170,C0071,Income protection,372000.0,64.1,2040-05-31,True,2026-02-13,2,14
G0171,C0072,Estate / legacy,258000.0,33.3,2045-05-30,True,2026-02-19,1,19
G0172,C0073,Retirement income,963000.0,20.6,2033-06-02,False,2026-04-04,1,7
G0173,C0073,Emergency fund,1282000.0,77.3,2032-06-02,True,2026-03-28,2,6
G0174,C0074,Income protection,49338000.0,56.3,2039-06-01,True,2026-02-28,1,13
G0175,C0074,Business exit,11710000.0,29.3,2037-06-01,False,2026-03-29,2,11
G0176,C0074,Emergency fund,68574000.0,68.0,2043-05-31,True,2026-01-08,3,17
G0177,C0074,Retirement income,68825000.0,49.6,2039-06-01,True,2026-03-27,4,13
G0178,C0075,Education funding,582000.0,61.3,2038-06-01,True,2026-02-16,1,12
G0179,C0075,Property purchase,906000.0,85.7,2036-06-01,True,2026-05-05,2,10
G0180,C0076,Estate / legacy,4269000.0,64.8,2042-05-31,True,2025-12-22,1,16
G0181,C0076,Charitable giving,6741000.0,87.7,2028-06-03,True,2026-01-24,2,2
G0182,C0077,Property purchase,1627000.0,40.7,2034-06-02,True,2026-04-10,1,8
G0183,C0078,Retirement income,704000.0,43.2,2027-06-04,False,2026-03-04,1,1
G0184,C0079,Retirement income,87000.0,36.7,2045-05-30,False,2026-01-28,1,19
G0185,C0079,Charitable giving,102000.0,51.9,2036-06-01,False,2026-02-23,2,10
G0186,C0080,Property purchase,1055000.0,55.7,2044-05-30,True,2026-05-21,1,18
G0187,C0080,Charitable giving,422000.0,82.8,2034-06-02,True,2026-01-31,2,8
G0188,C0080,Estate / legacy,448000.0,88.1,2028-06-03,True,2026-03-30,3,2
G0189,C0081,Estate / legacy,526000.0,20.5,2040-05-31,True,2026-02-02,1,14
G0190,C0081,Income protection,426000.0,27.7,2036-06-01,True,2026-04-07,2,10
G0191,C0082,Estate / legacy,3456000.0,81.6,2044-05-30,True,2026-04-10,1,18
G0192,C0082,Charitable giving,939000.0,32.8,2038-06-01,True,2025-12-27,2,12
G0193,C0083,Income protection,510000.0,83.5,2033-06-02,True,2025-12-14,1,7
G0194,C0083,Charitable giving,68000.0,30.5,2037-06-01,True,2026-05-24,2,11
G0195,C0083,Estate / legacy,504000.0,90.0,2032-06-02,True,2026-01-23,3,6
G0196,C0084,Emergency fund,794000.0,34.8,2045-05-30,False,2026-02-21,1,19
G0197,C0085,Retirement income,2044000.0,33.3,2027-08-06,False,2025-12-30,1,19
G0198,C0085,Property purchase,791000.0,33.9,2041-05-31,False,2026-03-12,2,15
G0199,C0086,Charitable giving,96000.0,33.2,2036-06-01,True,2026-03-02,1,10
G0200,C0086,Business exit,107000.0,84.4,2040-05-31,True,2026-05-12,2,14
G0201,C0087,Emergency fund,3608000.0,68.6,2046-05-30,True,2026-02-26,1,20
G0202,C0087,Charitable giving,5716000.0,69.7,2031-06-03,True,2026-02-23,2,5
G0203,C0088,Estate / legacy,1826000.0,31.3,2038-06-01,True,2026-03-15,1,12
G0204,C0088,Business exit,1551000.0,79.7,2043-05-31,True,2026-05-03,2,17
G0205,C0088,Property purchase,3223000.0,26.2,2032-06-02,False,2026-05-20,3,6
G0206,C0088,Emergency fund,3773000.0,27.6,2044-05-30,True,2026-03-23,4,18
G0207,C0089,Education funding,2038000.0,32.9,2035-06-02,True,2026-04-16,1,9
G0208,C0089,Emergency fund,1586000.0,26.8,2029-06-03,False,2026-02-10,2,3
G0209,C0090,Retirement income,743000.0,40.7,2040-05-31,True,2026-04-03,1,14
G0210,C0090,Business exit,1025000.0,67.4,2028-06-03,True,2026-02-10,2,2
G0211,C0090,Emergency fund,287000.0,84.7,2046-05-30,True,2026-05-27,3,20
G0212,C0091,Retirement income,9410000.0,38.9,2049-05-29,True,2026-04-11,1,23
G0213,C0091,Business exit,4301000.0,32.7,2039-06-01,True,2026-03-24,2,13
G0214,C0091,Income protection,20622000.0,82.4,2036-06-01,True,2026-04-02,3,10
G0215,C0091,Property purchase,8987000.0,34.0,2035-06-02,True,2026-02-07,4,9
G0216,C0092,Estate / legacy,499000.0,59.6,2041-05-31,True,2026-01-31,1,15
G0217,C0092,Property purchase,927000.0,43.2,2038-06-01,False,2026-03-01,2,12
G0218,C0093,Education funding,2325000.0,61.6,2034-06-02,True,2026-02-20,1,8
G0219,C0093,Business exit,409000.0,59.7,2040-05-31,True,2026-03-30,2,14
G0220,C0093,Income protection,1909000.0,50.3,2039-06-01,True,2026-01-17,3,13
G0221,C0094,Income protection,1172000.0,36.1,2045-05-30,True,2026-02-20,1,19
G0222,C0094,Estate / legacy,642000.0,54.0,2031-06-03,True,2026-05-03,2,5
G0223,C0095,Income protection,1351000.0,30.5,2034-06-02,False,2026-05-27,1,8
G0224,C0095,Education funding,1975000.0,65.0,2031-06-03,True,2026-02-01,2,5
G0225,C0096,Retirement income,1147000.0,66.0,2040-05-31,True,2026-05-11,1,14
G0226,C0096,Education funding,1583000.0,25.9,2044-05-30,True,2025-12-26,2,18
G0227,C0097,Estate / legacy,491000.0,68.3,2044-05-30,True,2026-02-11,1,18
G0228,C0097,Emergency fund,581000.0,50.6,2042-05-31,True,2026-04-19,2,16
G0229,C0097,Business exit,235000.0,52.0,2034-06-02,False,2026-04-21,3,8
G0230,C0098,Retirement income,1164000.0,37.6,2029-06-03,False,2026-01-04,1,3
G0231,C0099,Emergency fund,191000.0,62.2,2032-06-02,True,2026-05-26,1,6
G0232,C0099,Retirement income,307000.0,52.7,2061-05-26,True,2025-12-20,2,35
G0233,C0099,Charitable giving,173000.0,70.4,2031-06-03,True,2026-04-27,3,5
G0234,C0100,Estate / legacy,263000.0,21.5,2036-06-01,False,2026-02-13,1,10
G0235,C0100,Retirement income,174000.0,79.9,2040-05-31,True,2026-05-04,2,14
G0236,C0100,Charitable giving,207000.0,68.9,2037-06-01,True,2026-04-21,3,11
G0237,C0101,Estate / legacy,1278000.0,84.1,2031-06-03,True,2026-02-17,1,5
G0238,C0101,Education funding,281000.0,29.2,2040-05-31,False,2026-03-29,2,14
G0239,C0101,Business exit,563000.0,25.7,2028-06-03,False,2026-01-17,3,2
G0240,C0102,Emergency fund,196000.0,79.3,2038-06-01,True,2026-04-13,1,12
G0241,C0103,Income protection,223000.0,22.1,2034-06-02,False,2026-01-04,1,8
G0242,C0103,Retirement income,137000.0,67.8,2032-06-02,True,2026-02-01,2,6
G0243,C0103,Education funding,199000.0,28.2,2045-05-30,False,2025-12-13,3,19
G0244,C0104,Income protection,1786000.0,37.9,2046-05-30,False,2025-12-15,1,20
G0245,C0104,Emergency fund,1719000.0,87.4,2031-06-03,True,2026-04-23,2,5
G0246,C0105,Estate / legacy,647000.0,59.9,2036-06-01,True,2026-05-18,1,10
G0247,C0105,Business exit,432000.0,81.0,2033-06-02,True,2025-12-31,2,7
G0248,C0105,Emergency fund,152000.0,25.0,2038-06-01,False,2026-04-26,3,12
G0249,C0106,Estate / legacy,1754000.0,38.8,2042-05-31,True,2026-05-28,1,16
G0250,C0106,Emergency fund,1568000.0,45.1,2032-06-02,False,2026-05-30,2,6
G0251,C0107,Emergency fund,566000.0,42.6,2028-06-03,False,2026-05-26,1,2
G0252,C0107,Retirement income,208000.0,72.2,2055-05-28,True,2026-04-20,2,29
G0253,C0108,Retirement income,361000.0,55.1,2046-05-30,True,2026-04-21,1,20
G0254,C0109,Estate / legacy,401000.0,66.4,2040-05-31,True,2026-04-22,1,14
G0255,C0109,Charitable giving,155000.0,73.6,2041-05-31,True,2026-04-17,2,15
G0256,C0109,Emergency fund,78000.0,32.3,2037-06-01,False,2026-01-13,3,11
G0257,C0110,Estate / legacy,738000.0,44.5,2046-05-30,True,2026-05-19,1,20
G0258,C0111,Estate / legacy,1043000.0,30.2,2029-06-03,False,2026-01-11,1,3
G0259,C0112,Estate / legacy,5291000.0,69.8,2032-06-02,True,2026-01-28,1,6
G0260,C0112,Business exit,2479000.0,79.2,2030-06-03,True,2026-04-17,2,4
G0261,C0112,Charitable giving,1946000.0,42.4,2043-05-31,False,2026-01-01,3,17
G0262,C0113,Retirement income,871000.0,71.3,2042-05-31,True,2026-02-21,1,16
G0263,C0113,Income protection,2300000.0,71.7,2043-05-31,True,2025-12-19,2,17
G0264,C0114,Estate / legacy,1737000.0,46.3,2041-05-31,True,2026-05-11,1,15
G0265,C0114,Property purchase,2605000.0,76.3,2044-05-30,True,2026-04-16,2,18
G0266,C0114,Emergency fund,3699000.0,23.1,2039-06-01,False,2026-03-27,3,13
G0267,C0114,Income protection,3245000.0,84.3,2044-05-30,True,2026-03-21,4,18
G0268,C0114,Charitable giving,4531000.0,43.3,2042-05-31,True,2026-01-10,5,16
G0269,C0115,Emergency fund,133000.0,75.9,2042-05-31,True,2026-05-11,1,16
G0270,C0115,Education funding,54000.0,47.4,2029-06-03,False,2025-12-25,2,3
G0271,C0116,Income protection,124000.0,46.5,2046-05-30,True,2025-12-11,1,20
G0272,C0116,Education funding,381000.0,68.2,2045-05-30,True,2026-03-17,2,19
G0273,C0116,Retirement income,308000.0,81.5,2034-06-02,True,2026-02-17,3,8
G0274,C0117,Income protection,2161000.0,57.5,2034-06-02,True,2026-03-31,1,8
G0275,C0118,Income protection,4498000.0,52.7,2034-06-02,False,2026-04-25,1,8
G0276,C0118,Property purchase,5155000.0,58.1,2038-06-01,True,2026-04-01,2,12
G0277,C0119,Property purchase,1153000.0,15.9,2028-05-27,False,2026-03-02,1,5
G0278,C0119,Estate / legacy,717000.0,50.4,2038-06-01,True,2026-01-31,2,12
G0279,C0120,Property purchase,719000.0,88.3,2034-06-02,True,2026-04-26,1,8
G0280,C0120,Charitable giving,471000.0,63.3,2031-06-03,True,2026-05-23,2,5
G0281,C0120,Education funding,474000.0,24.1,2033-06-02,True,2026-02-16,3,7
G0282,C0121,Retirement income,463000.0,61.6,2027-06-04,False,2026-05-01,1,1
G0283,C0122,Retirement income,916000.0,57.6,2037-06-01,True,2026-04-29,1,11
G0284,C0122,Charitable giving,1325000.0,23.2,2034-06-02,False,2025-12-29,2,8
G0285,C0122,Estate / legacy,704000.0,74.0,2035-06-02,True,2026-06-03,3,9
G0286,C0123,Income protection,401000.0,64.1,2034-06-02,True,2026-03-04,1,8
G0287,C0123,Business exit,99000.0,62.0,2028-06-03,True,2026-05-05,2,2
G0288,C0123,Emergency fund,346000.0,82.2,2032-06-02,True,2025-12-23,3,6
G0289,C0124,Retirement income,1145000.0,40.0,2035-06-02,True,2026-04-06,1,9
G0290,C0124,Property purchase,6062000.0,82.2,2028-06-03,True,2025-12-18,2,2
G0291,C0124,Emergency fund,6395000.0,62.1,2043-05-31,True,2025-12-26,3,17
G0292,C0125,Retirement income,119000.0,33.7,2036-06-01,False,2026-03-21,1,10
G0293,C0126,Income protection,38048000.0,58.2,2037-06-01,True,2026-01-12,1,11
G0294,C0126,Emergency fund,34931000.0,26.1,2041-05-31,True,2026-04-25,2,15
G0295,C0126,Retirement income,42609000.0,35.3,2039-06-01,True,2026-02-07,3,13
G0296,C0126,Charitable giving,48437000.0,84.2,2034-06-02,True,2026-04-01,4,8
G0297,C0126,Estate / legacy,10345000.0,70.4,2040-05-31,True,2025-12-21,5,14
G0298,C0127,Estate / legacy,66000.0,40.2,2041-05-31,True,2026-03-09,1,15
G0299,C0127,Business exit,321000.0,70.4,2030-06-03,True,2026-04-22,2,4
G0300,C0128,Income protection,4140000.0,20.8,2031-06-03,False,2026-06-03,1,5
G0301,C0128,Business exit,4227000.0,30.6,2037-06-01,True,2026-05-03,2,11
G0302,C0129,Retirement income,1557000.0,63.4,2030-06-03,False,2026-04-14,1,4
G0303,C0129,Income protection,6625000.0,56.6,2038-06-01,True,2026-05-03,2,12
G0304,C0129,Estate / legacy,1389000.0,83.5,2032-06-02,True,2025-12-15,3,6
G0305,C0130,Income protection,566000.0,84.3,2044-05-30,True,2026-04-08,1,18
G0306,C0130,Education funding,195000.0,75.8,2035-06-02,True,2026-05-22,2,9
G0307,C0130,Emergency fund,300000.0,71.8,2043-05-31,True,2026-04-17,3,17
G0308,C0131,Retirement income,1661000.0,73.3,2027-06-04,True,2026-02-12,1,1
G0309,C0132,Education funding,507000.0,34.2,2044-05-30,False,2026-02-12,1,18
G0310,C0133,Retirement income,3253000.0,40.4,2036-06-01,False,2026-02-12,1,10
G0311,C0133,Income protection,1933000.0,54.7,2037-06-01,False,2026-02-28,2,11
G0312,C0133,Charitable giving,5178000.0,55.0,2036-06-01,False,2026-01-14,3,10
G0313,C0133,Estate / legacy,2259000.0,66.9,2046-05-30,True,2026-01-23,4,20
G0314,C0134,Retirement income,246000.0,83.9,2044-05-30,True,2026-05-07,1,18
G0315,C0135,Retirement income,35333000.0,71.7,2037-06-01,True,2026-03-29,1,11
G0316,C0135,Emergency fund,38185000.0,32.2,2046-05-30,True,2026-02-05,2,20
G0317,C0136,Retirement income,6209000.0,80.6,2041-05-31,True,2026-02-21,1,15
